ID,Title,Posted,Budget,Duration,Number of Offers,Tags,Link
490,تحديث سرعة الإستعلام في  application ASP.NET & C# - Visual Studio 2015,from 10 days,$70.00 ,5 days,10,"programing  apps ,programming engineer, programing, programing web, programing data base",https://mostaql.com/project/1074573-%D8%AA%D8%AD%D8%AF%D9%8A%D8%AB-%D8%B3%D8%B1%D8%B9%D8%A9-%D8%A7%D9%84%D8%A5%D8%B3%D8%AA%D8%B9%D9%84%D8%A7%D9%85-%D9%81%D9%8A-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-aspnet-c-visual-studio-2015
491,اكسل شيت لمركز رياضي,from 10 days,$60.00 ,5 days,40,"مايكروسوفت إكسل,  application development ,programming engineer, مايكروسوفت أوفيس, إدخال بيانات, programing data base, معالجة البيانات, تحليل البيانات, devقاعدة بيانات, كتابة التقارير",https://mostaql.com/project/1074597-%D8%A7%D9%83%D8%B3%D9%84-%D8%B4%D9%8A%D8%AA-%D9%84%D9%85%D8%B1%D9%83%D8%B2-%D8%B1%D9%8A%D8%A7%D8%B6%D9%8A
492,web إلكتروني لمعرض سيارات,from 10 days,$300.00 ,30 days,66," application development , programing data base, design UI UX, java script, CSS, PHP, python, أمن وحماية الweb, programing web, design web إلكتروني",https://mostaql.com/project/1074641-%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%84%D9%85%D8%B9%D8%B1%D8%B6-%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA
493,create منصة سوق إلكتروني لمنتج معين,from 11 days,$850.00 ,30 days,20,"programing  apps , design  applicationات, java script, CSS, PHP, python, أمن وحماية الweb, create web إلكتروني, programing web, programing",https://mostaql.com/project/1074437-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%85%D9%86%D8%B5%D8%A9-%D8%B3%D9%88%D9%82-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%84%D9%85%D9%86%D8%AA%D8%AC-%D9%85%D8%B9%D9%8A%D9%86
494,متخصص  engineering العكسية لحل مشكلة في برنامج,from 11 days,$250.00 ,2 days,3,"programing, java script,  application development , إدارة data base, java, create  application",https://mostaql.com/project/1074282-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D9%87%D9%86%D8%AF%D8%B3%D8%A9-%D8%A7%D9%84%D8%B9%D9%83%D8%B3%D9%8A%D8%A9-%D9%84%D8%AD%D9%84-%D9%85%D8%B4%D9%83%D9%84%D8%A9-%D9%81%D9%8A-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC
495,مبرمج للعمل المستمر لربط ملف اكسل من برنامج كاشير بمنصة سلة وتحديث المخزون,from 11 days,$200.00 ,1 day,11,"programing web, programing,  application development , programing data base",https://mostaql.com/project/1074283-%D9%85%D8%A8%D8%B1%D9%85%D8%AC-%D9%84%D9%84%D8%B9%D9%85%D9%84-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%85%D8%B1-%D9%84%D8%B1%D8%A8%D8%B7-%D9%85%D9%84%D9%81-%D8%A7%D9%83%D8%B3%D9%84-%D9%85%D9%86-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D9%83%D8%A7%D8%B4%D9%8A%D8%B1-%D8%A8%D9%85%D9%86%D8%B5%D8%A9-%D8%B3%D9%84%D8%A9-%D9%88%D8%AA%D8%AD%D8%AF%D9%8A%D8%AB-%D8%A7%D9%84%D9%85%D8%AE%D8%B2%D9%88%D9%86
496,Easy park برنامج لحجز مواقف السيارات ويوجد فيه خدمة صف السيارات,from 11 days,"$1,000.00 ",20 days,8," engineering  programes , programing, programing data base,  application development , programing web",https://mostaql.com/project/1074276-easy-park-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D9%84%D8%AD%D8%AC%D8%B2-%D9%85%D9%88%D8%A7%D9%82%D9%81-%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA-%D9%88%D9%8A%D9%88%D8%AC%D8%AF-%D9%81%D9%8A%D9%87-%D8%AE%D8%AF%D9%85%D8%A9-%D8%B5%D9%81-%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA
497,مطور  applicationات له خبرة ممتازة في laravel و kotlin معاً لتعديل على سورس كود,from 11 days,$48.00 ,4 days,3,"laravel, kotlin, dev apps , programing,  application development , programing data base",https://mostaql.com/project/1074284-%D9%85%D8%B7%D9%88%D8%B1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82%D8%A7%D8%AA-%D9%84%D9%87-%D8%AE%D8%A8%D8%B1%D8%A9-%D9%85%D9%85%D8%AA%D8%A7%D8%B2%D8%A9-%D9%81%D9%8A-laravel-%D9%88-kotlin-%D9%85%D8%B9%D8%A7-%D9%84%D8%AA%D8%B9%D8%AF%D9%8A%D9%84-%D8%B9%D9%84%D9%89-%D8%B3%D9%88%D8%B1%D8%B3-%D9%83%D9%88%D8%AF
498,مبرمج ومصمم للبنرات لمتجر بسلة,from 11 days,$50.00 ,2 days,16,"design بنرات, programing web, programing,  application development , design  online market, سلة, photoshop, design جرافيك, الdesign الإبداعي",https://mostaql.com/project/1074366-%D9%85%D8%A8%D8%B1%D9%85%D8%AC-%D9%88%D9%85%D8%B5%D9%85%D9%85-%D9%84%D9%84%D8%A8%D9%86%D8%B1%D8%A7%D8%AA-%D9%84%D9%85%D8%AA%D8%AC%D8%B1-%D8%A8%D8%B3%D9%84%D8%A9
499,مطلوب تعديل UI ولوحة تحكم جديدة,from 10 days,$100.00 ,7 days,4," management منتجات, CSS, HTML, java script, PHP, python, programing web, programing,  management web,  application development ",https://mostaql.com/project/1074564-%D9%85%D8%B7%D9%84%D9%88%D8%A8-%D8%AA%D8%B9%D8%AF%D9%8A%D9%84-%D9%88%D8%A7%D8%AC%D9%87%D8%A9-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D8%AE%D8%AF%D9%85-%D9%88%D9%84%D9%88%D8%AD%D8%A9-%D8%AA%D8%AD%D9%83%D9%85-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9
500,مبرمج لبناء مشروع تعليمي للقرآن,from 11 days,$240.00 ,7 days,4,"React, java script, typescript, GitHub",https://mostaql.com/project/1074356-%D9%85%D8%A8%D8%B1%D9%85%D8%AC-%D9%84%D8%A8%D9%86%D8%A7%D8%A1-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A-%D9%84%D9%84%D9%82%D8%B1%D8%A2%D9%86
501,منصة تعليمية,from 11 days,$750.00 ,30 days,31,"programing, design web إلكتروني, programing web, devweb",https://mostaql.com/project/1074059-%D9%85%D9%86%D8%B5%D8%A9-%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A%D8%A9
502,تحويل طابعة من نظام الخراطيش لنظام الطباعة بدون خراطيش,from 11 days,"$4,500.00 ",20 days,2," engineering  programes , programing,  application development , programing data base",https://mostaql.com/project/1074080-%D8%AA%D8%AD%D9%88%D9%8A%D9%84-%D8%B7%D8%A7%D8%A8%D8%B9%D8%A9-%D9%85%D9%86-%D9%86%D8%B8%D8%A7%D9%85-%D8%A7%D9%84%D8%AE%D8%B1%D8%A7%D8%B7%D9%8A%D8%B4-%D9%84%D9%86%D8%B8%D8%A7%D9%85-%D8%A7%D9%84%D8%B7%D8%A8%D8%A7%D8%B9%D8%A9-%D8%A8%D8%AF%D9%88%D9%86-%D8%AE%D8%B1%D8%A7%D8%B7%D9%8A%D8%B4
503,متخصص في php laravel و Ionic/Angular للعمل على مشروع كدعم فني,from 12 days,$235.00 ,30 days,4,"PHP, CSS, programing,  application development , programing data base, programing web,programming engineer, flutter",https://mostaql.com/project/1073964-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D9%81%D9%8A-php-%D9%84%D8%A7%D8%B1%D8%A7%D9%81%D9%8A%D9%84-%D9%88-ionicangular-%D9%84%D9%84%D8%B9%D9%85%D9%84-%D8%B9%D9%84%D9%89-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%83%D8%AF%D8%B9%D9%85-%D9%81%D9%86%D9%8A
504,سكربت لتوليد صورة مائية على الصور أو الملفات المرفقة تلقائياً مع ربط API بمنصات أخرى,from 12 days,$200.00 ,7 days,4,"CSS, PHP, java script, HTML",https://mostaql.com/project/1073944-%D8%B3%D9%83%D8%B1%D8%A8%D8%AA-%D9%84%D8%AA%D9%88%D9%84%D9%8A%D8%AF-%D8%B5%D9%88%D8%B1%D8%A9-%D9%85%D8%A7%D8%A6%D9%8A%D8%A9-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%B5%D9%88%D8%B1-%D8%A3%D9%88-%D8%A7%D9%84%D9%85%D9%84%D9%81%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%B1%D9%81%D9%82%D8%A9-%D8%AA%D9%84%D9%82%D8%A7%D8%A6%D9%8A%D8%A7-%D9%85%D8%B9-%D8%B1%D8%A8%D8%B7-api-%D8%A8%D9%85%D9%86%D8%B5%D8%A7%D8%AA-%D8%A3%D8%AE%D8%B1%D9%89
505,ربط أجهزة جيديا مع النظام المحاسبي,from 11 days,$100.00 ,2 days,3," management شبكات, إطار سلكي, programing,  application development ,  management اتصالات, programing data base,programming engineer, programing  apps ",https://mostaql.com/project/1074144-%D8%B1%D8%A8%D8%B7-%D8%A3%D8%AC%D9%87%D8%B2%D8%A9-%D8%AC%D9%8A%D8%AF%D9%8A%D8%A7-%D9%85%D8%B9-%D8%A7%D9%84%D9%86%D8%B8%D8%A7%D9%85-%D8%A7%D9%84%D9%85%D8%AD%D8%A7%D8%B3%D8%A8%D9%8A
506,مراجعة وتقييم لweb مبني بـ React.js وNestJS وPostgreSQL,from 11 days,$75.00 ,5 days,10," application development , programing, programing data base, programing web",https://mostaql.com/project/1074119-%D9%85%D8%B1%D8%A7%D8%AC%D8%B9%D8%A9-%D9%88%D8%AA%D9%82%D9%8A%D9%8A%D9%85-%D9%84%D9%85%D9%88%D9%82%D8%B9-%D9%85%D8%A8%D9%86%D9%8A-%D8%A8%D9%80-reactjs-%D9%88nestjs-%D9%88postgresql
507,إضافة تعديلات على  online market,from 11 days,$50.00 ,4 days,12," application development , programing, design  online market, create  online market, devweb, programing web, خدمات web",https://mostaql.com/project/1074176-%D8%A5%D8%B6%D8%A7%D9%81%D8%A9-%D8%AA%D8%B9%D8%AF%D9%8A%D9%84%D8%A7%D8%AA-%D8%B9%D9%84%D9%89-%D9%85%D8%AA%D8%AC%D8%B1-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A
508,مدير مشروع تقني لweb إلكتروني,from 11 days,"$2,500.00 ",90 days,16,"programing web,programming engineer, design web, create  online market, إدارة data base, design web إلكتروني",https://mostaql.com/project/1074088-%D9%85%D8%AF%D9%8A%D8%B1-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D8%AA%D9%82%D9%86%D9%8A-%D9%84%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A
509,design web و application بيع وشراء,from 11 days,"$1,000.00 ",20 days,7,"CSS, programing android , HTML, programing  apps , java script, C++ Programming, wordpress, programing data base",https://mostaql.com/project/1074100-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D9%88%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%A8%D9%8A%D8%B9-%D9%88%D8%B4%D8%B1%D8%A7%D8%A1
510,دراسة لdesign web,from 11 days,$200.00 ,20 days,13,"design web, design web إلكتروني, استشارات الشركات الناشئة, devweb, خدمات web, استضافة الweb",https://mostaql.com/project/1074131-%D8%AF%D8%B1%D8%A7%D8%B3%D8%A9-%D9%84%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9
511,"مطلوب خبير Mailwizz, SMTP",from 11 days,$45.00 ,4 days,1," management بريد الإلكتروني, التسويق عبر البريد الإلكتروني, VPS",https://mostaql.com/project/1074008-%D9%85%D8%B7%D9%84%D9%88%D8%A8-%D8%AE%D8%A8%D9%8A%D8%B1-mailwizz-smtp
512,محترف في المتاجر الإلكترونية,from 11 days,$100.00 ,30 days,10," management متاجر الإلكترونية, design  online market, create  online market, programing,  application development ",https://mostaql.com/project/1074123-%D9%85%D8%AD%D8%AA%D8%B1%D9%81-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AC%D8%B1-%D8%A7%D9%84%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9
513,التعديل على برنامج تعليمي معمول بلغة php والإطار laravel,from 11 days,$90.00 ,5 days,20,"اللغة العربية, الdesign الإبداعي, PHP, design web إلكتروني, devweb, programing web, خدمات web, laravel",https://mostaql.com/project/1074164-%D8%A7%D9%84%D8%AA%D8%B9%D8%AF%D9%8A%D9%84-%D8%B9%D9%84%D9%89-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A-%D9%85%D8%B9%D9%85%D9%88%D9%84-%D8%A8%D9%84%D8%BA%D8%A9-php-%D9%88%D8%A7%D9%84%D8%A5%D8%B7%D8%A7%D8%B1-%D9%84%D8%A7%D8%B1%D8%A7%D9%81%D9%8A%D9%84
514,مساعدة لcreate حساب على متجر ابل,from 12 days,$70.00 ,5 days,9,"programing iOS, programing android , programing data base,  application development , programing, programing web,programming engineer",https://mostaql.com/project/1074001-%D9%85%D8%B3%D8%A7%D8%B9%D8%AF%D8%A9-%D9%84%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D8%AD%D8%B3%D8%A7%D8%A8-%D8%B9%D9%84%D9%89-%D9%85%D8%AA%D8%AC%D8%B1-%D8%A7%D8%A8%D9%84
515,صفحة ويب بسيطة للجوال عبارة عن تقويم ذكي لتنظيم الأعمال,from 11 days,$30.00 ,5 days,26,"programing web, devweb, design web, devwebالكامل, design web إلكتروني, create web إلكتروني, Front End, Back End",https://mostaql.com/project/1074148-%D8%B5%D9%81%D8%AD%D8%A9-%D9%88%D9%8A%D8%A8-%D8%A8%D8%B3%D9%8A%D8%B7%D8%A9-%D9%84%D9%84%D8%AC%D9%88%D8%A7%D9%84-%D8%B9%D8%A8%D8%A7%D8%B1%D8%A9-%D8%B9%D9%86-%D8%AA%D9%82%D9%88%D9%8A%D9%85-%D8%B0%D9%83%D9%8A-%D9%84%D8%AA%D9%86%D8%B8%D9%8A%D9%85-%D8%A7%D9%84%D8%A3%D8%B9%D9%85%D8%A7%D9%84
516,إصلاح خطأ بدء تشغيل الweb,from 12 days,"$1,000.00 ",3 days,22,"java script, programing,  application development , programing data base, programing web, programing  apps , programing iOS, programing android ,programming engineer",https://mostaql.com/project/1073963-%D8%A5%D8%B5%D9%84%D8%A7%D8%AD-%D8%AE%D8%B7%D8%A3-%D8%A8%D8%AF%D8%A1-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D8%A7%D9%84%D9%85%D9%88%D9%82%D8%B9
517, application رحلات برية,from 11 days,$475.00 ,60 days,13,"design UI, design UI UX, design UX, الdesign الإبداعي, design  applicationات, design  applicationات الهواتف الذكية, adobe xd",https://mostaql.com/project/1074063-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%B1%D8%AD%D9%84%D8%A7%D8%AA-%D8%A8%D8%B1%D9%8A%D8%A9
518,مطور Full Stack للعمل على باكند web,from 11 days,$375.00 ,15 days,12,"استكشاف الأخطاء وإصلاحها, تصحيح برمجي,  application development , dev apps , flutter, laravel, واجهة programing  apps , Front End",https://mostaql.com/project/1074205-%D9%85%D8%B7%D9%88%D8%B1-full-stack-%D9%84%D9%84%D8%B9%D9%85%D9%84-%D8%B9%D9%84%D9%89-%D8%A8%D8%A7%D9%83%D9%86%D8%AF-%D9%85%D9%88%D9%82%D8%B9
519,بناء منصة لبيع الدورات,from 11 days,$410.00 ,10 days,8,"الdesign الإبداعي, اللغة الإنجليزية, اللغة العربية, Adobe Illustrator, design إعلان, كتابة المحتوى, مايكروسوفت وورد, الفكرة الdesignية, الترجمة, إدخال بيانات, HTML, design web إلكتروني, التسويق عبر web التواصل الاجتماعي, java script, أوتوكاد, programing web, design web",https://mostaql.com/project/1074204-%D8%A8%D9%86%D8%A7%D8%A1-%D9%85%D9%86%D8%B5%D8%A9-%D9%84%D8%A8%D9%8A%D8%B9-%D8%A7%D9%84%D8%AF%D9%88%D8%B1%D8%A7%D8%AA
520,devمنصة بالذكاء الإصطناعي,from 11 days,$700.00 ,20 days,14,"تحليل البيانات, إدارة data base,programming engineer, programing web, الذكاء الاصطناعي, design UI UX, التعلم الآلي, التعلم العميق",https://mostaql.com/project/1074175-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%85%D9%86%D8%B5%D8%A9-%D8%A8%D8%A7%D9%84%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D9%84%D8%A5%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A
521,programing وdesign منصة تعليم إلكتروني متكاملة للكورسات والتدريب أونلاين باحترافية,from 11 days,$250.00 ,30 days,15,"design web إلكتروني, الdesign الإبداعي,  application development , programing, programing data base",https://mostaql.com/project/1074117-%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-%D9%88%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%86%D8%B5%D8%A9-%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%85%D8%AA%D9%83%D8%A7%D9%85%D9%84%D8%A9-%D9%84%D9%84%D9%83%D9%88%D8%B1%D8%B3%D8%A7%D8%AA-%D9%88%D8%A7%D9%84%D8%AA%D8%AF%D8%B1%D9%8A%D8%A8-%D8%A3%D9%88%D9%86%D9%84%D8%A7%D9%8A%D9%86-%D8%A8%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A%D8%A9
522,"design واجهة web إلكتروني شبيهة بweb ""حراج"" باستخدام Laravel Blade",from 11 days,$250.00 ,5 days,11,"design web, الdesign الإبداعي, design web إلكتروني, HTML, CSS, bootstrap, laravel",https://mostaql.com/project/1074086-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%88%D8%A7%D8%AC%D9%87%D8%A9-%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D8%B4%D8%A8%D9%8A%D9%87%D8%A9-%D8%A8%D9%85%D9%88%D9%82%D8%B9-%D8%AD%D8%B1%D8%A7%D8%AC-%D8%A8%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-laravel-blade
523,مبرمج PHP laravel,from 12 days,$100.00 ,7 days,16,"PHP, laravel, programing,  application development , programing data base, programing web",https://mostaql.com/project/1033054-%D9%85%D8%A8%D8%B1%D9%85%D8%AC-php-%D9%84%D8%A7%D8%B1%D8%A7%D9%81%D9%8A%D9%84
524,تكامل أنظمة (ShipHero - فتيجر CRM - قيود المحاسبي - أزابيل كول سنتر),from 11 days,$100.00 ,5 days,1,"واجهة programing  apps , PHP, programing  apps , programing",https://mostaql.com/project/1074032-%D8%AA%D9%83%D8%A7%D9%85%D9%84-%D8%A3%D9%86%D8%B8%D9%85%D8%A9-shiphero-%D9%81%D8%AA%D9%8A%D8%AC%D8%B1-crm-%D9%82%D9%8A%D9%88%D8%AF-%D8%A7%D9%84%D9%85%D8%AD%D8%A7%D8%B3%D8%A8%D9%8A-%D8%A3%D8%B2%D8%A7%D8%A8%D9%8A%D9%84-%D9%83%D9%88%D9%84-%D8%B3%D9%86%D8%AA%D8%B1
525,تفعيل Google Maps API من الحساب الخاص بي,from 11 days,$30.00 ,1 day,9,"design إعلان, الdesign الإبداعي, اللغة الإنجليزية, Google Maps, programing, programing android ,programming engineer",https://mostaql.com/project/1074166-%D8%AA%D9%81%D8%B9%D9%8A%D9%84-google-maps-api-%D9%85%D9%86-%D8%A7%D9%84%D8%AD%D8%B3%D8%A7%D8%A8-%D8%A7%D9%84%D8%AE%D8%A7%D8%B5-%D8%A8%D9%8A
526,خريطة تفاعلية لشركة عقارية,from 12 days,$50.00 ,5 days,5,"إدارة data base, design جرافيك, إدخال بيانات, design web, رسم الخرائط, نظم المعلومات الجغرافية, programing,  application development ",https://mostaql.com/project/1073755-%D8%AE%D8%B1%D9%8A%D8%B7%D8%A9-%D8%AA%D9%81%D8%A7%D8%B9%D9%84%D9%8A%D8%A9-%D9%84%D8%B4%D8%B1%D9%83%D8%A9-%D8%B9%D9%82%D8%A7%D8%B1%D9%8A%D8%A9
527, application لعبة بطاقات بسيطة ب unity,from 12 days,$250.00 ,7 days,5,"programing android , programing  apps , programing iOS, java, kotlin, Ionic, Swift, C++ Programming, Unity 3D",https://mostaql.com/project/1073828-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D9%84%D8%B9%D8%A8%D8%A9-%D8%A8%D8%B7%D8%A7%D9%82%D8%A7%D8%AA-%D8%A8%D8%B3%D9%8A%D8%B7%D8%A9-%D8%A8-unity
528,إعادة design web شركة ICT,from 12 days,$200.00 ,15 days,31,"design web إلكتروني, design web, الdesign الإبداعي, design UI, design UX, programing data base,  application development , programing web, programing",https://mostaql.com/project/1073812-%D8%A5%D8%B9%D8%A7%D8%AF%D8%A9-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D8%B4%D8%B1%D9%83%D8%A9-ict
529,عمل smart glass,from 12 days,$90.00 ,7 days,3,"C++ Programming, programing,  application development , programing data base",https://mostaql.com/project/1072019-%D8%B9%D9%85%D9%84-smart-glass
530,منصة لتسريع التحول الرقمي للجمعيات الخيرية,from 12 days,$450.00 ,20 days,4,"programing,  application development , programing data base, programing  apps ,programming engineer, programing web",https://mostaql.com/project/1073757-%D9%85%D9%86%D8%B5%D8%A9-%D9%84%D8%AA%D8%B3%D8%B1%D9%8A%D8%B9-%D8%A7%D9%84%D8%AA%D8%AD%D9%88%D9%84-%D8%A7%D9%84%D8%B1%D9%82%D9%85%D9%8A-%D9%84%D9%84%D8%AC%D9%85%D8%B9%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D8%AE%D9%8A%D8%B1%D9%8A%D8%A9
531,مطلوب مطور Odoo لمعالجة مشكلات وdevنظام إدارة حجوزات الفنادق,from 12 days,$300.00 ,5 days,4,,https://mostaql.com/project/1073173-%D9%85%D8%B7%D9%84%D9%88%D8%A8-%D9%85%D8%B7%D9%88%D8%B1-odoo-%D9%84%D9%85%D8%B9%D8%A7%D9%84%D8%AC%D8%A9-%D9%85%D8%B4%D9%83%D9%84%D8%A7%D8%AA-%D9%88%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%86%D8%B8%D8%A7%D9%85-%D8%A5%D8%AF%D8%A7%D8%B1%D8%A9-%D8%AD%D8%AC%D9%88%D8%B2%D8%A7%D8%AA-%D8%A7%D9%84%D9%81%D9%86%D8%A7%D8%AF%D9%82
532,devصفحة من web على برنامج Wordpress,from 12 days,$35.00 ,2 days,33,"wordpress, التسويق عبر web التواصل الاجتماعي, design web إلكتروني, programing web, devweb, create web إلكتروني, design web, create web wordpress",https://mostaql.com/project/1073610-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D8%B5%D9%81%D8%AD%D8%A9-%D9%85%D9%86-%D9%85%D9%88%D9%82%D8%B9-%D8%B9%D9%84%D9%89-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-wordpress
533,design واجهات  application عربي وانقليزي,from 12 days,$50.00 ,2 days,21,"design UI, الdesign الإبداعي, design UI UX, adobe xd, design UX",https://mostaql.com/project/1073694-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%88%D8%A7%D8%AC%D9%87%D8%A7%D8%AA-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%B9%D8%B1%D8%A8%D9%8A-%D9%88%D8%A7%D9%86%D9%82%D9%84%D9%8A%D8%B2%D9%8A
534,تسريع وتيرة العمل لمشروع laravel - Laravel Project,from 12 days,$400.00 ,7 days,7," application development ,  management web, programing, programing web, python, PHP, java script, HTML, CSS",https://mostaql.com/project/1073874-%D8%AA%D8%B3%D8%B1%D9%8A%D8%B9-%D9%88%D8%AA%D9%8A%D8%B1%D8%A9-%D8%A7%D9%84%D8%B9%D9%85%D9%84-%D9%84%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%84%D8%A7%D8%B1%D8%A7%D9%81%D9%8A%D9%84-laravel-project
535,devملف لعبة محاكاة,from 12 days,$97.50 ,5 days,4,"programing ألعاب الجوال, devالألعاب, واقع افتراضي, العصف الذهني",https://mostaql.com/project/1073775-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%85%D9%84%D9%81-%D9%84%D8%B9%D8%A8%D8%A9-%D9%85%D8%AD%D8%A7%D9%83%D8%A7%D8%A9
536,programing حجز مواعيد عن طريق الواتساب,from 12 days,$600.00 ,1000 day,16,"programing,  application development , programing data base, programing web, programing android , programing  apps ,programming engineer, flutter",https://mostaql.com/project/1073801-%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-%D8%AD%D8%AC%D8%B2-%D9%85%D9%88%D8%A7%D8%B9%D9%8A%D8%AF-%D8%B9%D9%86-%D8%B7%D8%B1%D9%8A%D9%82-%D8%A7%D9%84%D9%88%D8%A7%D8%AA%D8%B3%D8%A7%D8%A8
537,تعديلات على web مخصص لرفع الملفات,from 12 days,$27.50 ,1 day,4,"PHP, React, programing,  application development , programing data base, programing web, programing  apps ,programming engineer",https://mostaql.com/project/1073903-%D8%AA%D8%B9%D8%AF%D9%8A%D9%84%D8%A7%D8%AA-%D8%B9%D9%84%D9%89-%D9%85%D9%88%D9%82%D8%B9-%D9%85%D8%AE%D8%B5%D8%B5-%D9%84%D8%B1%D9%81%D8%B9-%D8%A7%D9%84%D9%85%D9%84%D9%81%D8%A7%D8%AA
538,متخصص laravel لdesign الواجهات في المشروع والربط في ال backend,from 12 days,$100.00 ,5 days,1,"laravel, programing,  application development , React",https://mostaql.com/project/1064026-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D9%84%D8%A7%D8%B1%D8%A7%D9%81%D9%8A%D9%84-%D9%84%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D8%A7%D9%84%D9%88%D8%A7%D8%AC%D9%87%D8%A7%D8%AA-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%88%D8%A7%D9%84%D8%B1%D8%A8%D8%B7-%D9%81%D9%8A-%D8%A7%D9%84-backend
539,devweb إلكتروني احترافي متكامل مع لوحة تحكم,from 12 days,$100.00 ,7 days,19,"programing, programing web, create web إلكتروني, أمن وحماية الweb, python, PHP, CSS, java script",https://mostaql.com/project/1073873-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D8%A7%D8%AD%D8%AA%D8%B1%D8%A7%D9%81%D9%8A-%D9%85%D8%AA%D9%83%D8%A7%D9%85%D9%84-%D9%85%D8%B9-%D9%84%D9%88%D8%AD%D8%A9-%D8%AA%D8%AD%D9%83%D9%85
